Calidad de usuario,Share Frequency,Dia (nombre) afiliacion,Edad,Dia afiliacion,Hora afiliacion,Number of Records,Categoria Dominante,Concursos Participados,difference_last_and_first_share,difference_last_raffle_first_share,Fecha Afiliacion,Genero,hascode,Id,Nacimiento,Premios Canjeados,Puntos,Puntos Gastados,Puntos Historicos,Recruitments,Shares Totales,stdv_share_difference,Tickets Canjeados,Uni
[4] Usuario semanal constante,3.989473684,Miércoles,21,2,21,1,IDEAS,8,379,360,07/11/2013 00:15:58,M,0,870,28/06/1994,0,34322,23700,58022,1,95,8.3174,58,Universidad Adolfo Ib
[6] No capturado,0,Domingo,21,6,23,1,VIDEOJUEGOS,1,0,0,31/03/2014 02:42:16,F,0,2207,07/07/1994,0,1635,300,1935,0,2,0,1,Universidad de Chile
[5] Usuario perdido,0.75,Martes,21,1,16,1,VIDEOJUEGOS,2,3,29,15/10/2013 19:59:53,F,1,449,03/08/1994,0,2314,1000,3314,0,4,1.4142,5,Ninguna
[2] Usuario diario constante,0.456204380,Lunes,21,0,15,1,VIAJES,7,125,125,04/11/2013 18:07:21,F,0,838,23/08/1994,0,291,35450,35741,0,274,2.9858,94,Universidad del Desarrollo
[4] Usuario semanal constante,1.087719298,Domingo,21,6,23,1,VIAJES,3,124,124,18/11/2013 02:11:20,F,0,1066,03/09/1994,1,2536,10900,13436,0,114,9.8097,3,Ninguna
[5] Usuario perdido,7.333333333,Lunes,21,0,12,1,CINE,1,22,0,11/11/2013 15:14:48,F,0,929,15/09/1994,0,1092,150,1242,0,3,11,1,Universidad Finis Terrae
[6] No capturado,0,Miércoles,21,2,22,1,MISC,2,0,-1,24/10/2013 01:23:41,F,1,647,06/10/1994,0,344,900,1244,0,2,0,2,Pontificia Universidad Cat
[5] Usuario perdido,8.375,Martes,21,1,18,1,DEPORTES,4,134,131,15/10/2013 21:35:56,M,0,456,26/10/1994,0,133,4900,5033,0,16,31.8297,11,Universidad de Talca
[5] Usuario perdido,12,Lunes,21,0,2,1,IDEAS,1,72,41,21/04/2014 05:26:25,M,0,2339,28/10/1994,0,234,600,834,0,6,16.6685,2,Ninguna
[4] Usuario semanal constante,1.760869565,Jueves,21,3,0,1,VIAJES,4,81,81,14/11/2013 03:25:02,F,0,990,31/10/1994,0,49,9250,9299,0,46,10.0964,22,Ninguna
[6] No capturado,0,Jueves,21,3,22,1,MISC,1,0,0,11/10/2013 01:35:22,F,1,290,29/11/1994,0,100,500,600,0,2,0,1,Universidad del Desarrollo
[5] Usuario perdido,0.151515152,Miércoles,21,2,23,1,DEPORTES,3,5,3,28/11/2013 02:12:48,F,0,1160,29/11/1994,0,89,5400,5489,0,33,0.4408,16,Ninguna
[4] Usuario semanal constante,3.421052632,Martes,20,1,20,1,VIAJES,1,195,168,18/03/2014 23:16:20,M,0,2143,09/01/1995,0,16918,48000,64918,0,57,13.1909,32,Universidad Adolfo Ib
[4] Usuario semanal constante,5.857142857,Jueves,20,3,10,1,CINE,6,123,123,14/11/2013 13:35:42,F,0,999,17/01/1995,0,564,4550,5114,0,21,15.4314,11,Universidad Diego Portales
[5] Usuario perdido,9.181818182,Domingo,20,6,21,1,MISC,1,101,99,14/10/2013 00:39:05,M,0,360,09/02/1995,0,1337,500,1837,0,11,22.0111,1,Universidad de Concepci
[5] Usuario perdido,7.210526316,Miércoles,20,2,20,1,DEPORTES,4,137,132,23/10/2013 23:53:40,F,0,645,20/02/1995,0,183,3500,3683,0,19,26.38,11,Universidad del Pac
[1] Diario por un mes,0.515151515,Sábado,20,5,14,1,CINE,1,17,17,12/10/2013 17:02:48,F,0,334,15/03/1995,0,136,9500,9636,0,33,1.2987,19,Ninguna
[4] Usuario semanal constante,5.709677419,Miércoles,20,2,2,1,VIAJES,4,354,353,13/11/2013 05:51:41,F,0,962,15/03/1995,0,22327,17600,39927,0,62,15.7228,51,Universidad Mayor
[2] Usuario diario constante,0.809954751,Jueves,20,3,0,1,VIAJES,2,179,179,28/11/2013 03:12:27,M,0,1161,01/04/1995,1,9368,6400,15768,0,221,7.6916,3,Ninguna
[4] Usuario semanal constante,4.105769231,Martes,20,1,15,1,IDEAS,5,427,385,15/10/2013 18:11:03,F,0,439,28/04/1995,0,17,13300,13317,0,104,23.8415,40,Ninguna
[4] Usuario semanal constante,5.615384615,Viernes,20,4,13,1,VIAJES,6,292,246,08/11/2013 16:30:20,M,0,901,11/07/1995,0,42141,34650,76791,0,52,10.6533,31,Ninguna
[5] Usuario perdido,1.8,Viernes,20,4,18,1,VIDEOJUEGOS,2,9,9,01/11/2013 21:18:08,F,0,813,27/07/1995,0,3669,900,4569,0,5,3.3448,2,Ninguna
[6] No capturado,0,Jueves,20,3,12,1,MISC,1,0,-1,09/01/2014 15:58:30,F,0,1473,18/08/1995,0,40,500,540,3,3,0,5,Ninguna
[5] Usuario perdido,3.428571429,Domingo,20,6,22,1,DEPORTES,1,24,24,14/10/2013 01:37:15,M,0,364,21/08/1995,0,469,2400,2869,0,7,8.0623,3,Ninguna
[5] Usuario perdido,0.056603774,Viernes,20,4,22,1,VIAJES,3,6,5,07/12/2013 01:20:46,F,0,1322,06/10/1995,0,30,12800,12830,0,106,0.4101,31,Universidad del Desarrollo
[6] No capturado,0,Domingo,20,6,17,1,VIAJES,3,0,-19,27/10/2013 20:09:49,F,0,733,21/10/1995,0,268,3100,3368,0,36,0,16,Ninguna
[5] Usuario perdido,0.136363636,Viernes,20,4,15,1,DEPORTES,2,3,3,08/11/2013 18:24:37,F,0,902,24/11/1995,0,1058,1400,2458,0,22,0.6389,3,Ninguna
[5] Usuario perdido,0.2,Sábado,20,5,12,1,DEPORTES,1,1,1,07/12/2013 15:14:47,F,0,1326,28/11/1995,0,467,300,767,0,5,0.433,2,Ninguna
[5] Usuario perdido,0.041666667,Miércoles,20,2,17,1,DEPORTES,1,1,1,27/11/2013 20:38:31,M,0,1151,19/12/1995,0,14508,2400,16908,0,24,0.2039,16,Ninguna
[1] Diario por un mes,0.521739130,Sábado,19,5,20,1,DEPORTES,1,12,10,02/11/2013 23:32:12,F,0,822,06/01/1996,0,433,4000,4433,0,23,1.2332,8,Ninguna
[5] Usuario perdido,0.05,Jueves,19,3,12,1,M,2,1,1,10/04/2014 15:05:51,M,0,2276,08/01/1996,0,618,1450,2068,0,20,0.2233,5,Universidad Tecnol
[6] No capturado,0,Lunes,19,0,21,1,M,3,0,0,19/11/2013 00:10:11,F,0,1074,17/01/1996,0,333,1600,1933,0,52,0,4,Ninguna
[4] Usuario semanal constante,3.065217391,Viernes,19,4,9,1,CINE,5,141,140,10/01/2014 12:58:04,F,0,1524,17/01/1996,0,43,2250,2293,0,46,20.7842,7,Ninguna
[5] Usuario perdido,0.2,Jueves,19,3,20,1,VIDEOJUEGOS,1,1,-6,09/01/2014 23:46:30,M,0,1510,19/07/1996,0,453,600,1053,0,5,0.433,1,Ninguna
[5] Usuario perdido,0.3,Jueves,19,3,15,1,CINE,3,3,-1,17/10/2013 18:42:04,M,0,501,14/09/1996,1,36,146550,146586,0,10,0.6667,13,Ninguna
[6] No capturado,0,Domingo,19,6,14,1,CINE,2,0,0,17/11/2013 17:08:32,F,0,1051,15/10/1996,0,28,1000,1028,0,15,0,5,Ninguna
[5] Usuario perdido,1.125,Miércoles,19,2,18,1,M,1,9,1,01/01/2014 21:13:11,M,0,1438,28/12/1996,0,1235,600,1835,0,8,2.0504,1,Ninguna
[3] Semanal por un mes,3.0625,Lunes,18,0,23,1,M,3,49,34,13/05/2014 02:42:31,F,0,2409,20/05/1997,0,5929,2250,8179,0,16,2.67,9,Ninguna
[5] Usuario perdido,8.962962963,Domingo,18,6,10,1,VIDEOJUEGOS,2,242,235,27/10/2013 13:33:04,M,0,719,09/08/1997,2,23277,28000,51277,0,27,22.1928,20,Ninguna
[4] Usuario semanal constante,3.944444444,Miércoles,18,2,12,1,CINE,6,142,135,06/11/2013 15:52:39,F,0,863,01/09/1997,1,200,15600,15800,0,36,12.8262,12,Ninguna
[4] Usuario semanal constante,5.25,Domingo,17,6,23,1,VIAJES,3,252,247,14/04/2014 02:43:34,M,0,2309,03/03/1998,0,1628,2800,4428,0,48,15.2321,3,Ninguna
[5] Usuario perdido,0.428571429,Martes,17,1,19,1,VIDEOJUEGOS,1,6,4,11/03/2014 22:41:10,M,0,2099,28/05/1998,0,412,250,662,0,14,1.0824,1,Ninguna
[5] Usuario perdido,12.190476190,Martes,16,1,17,1,VIAJES,3,256,243,15/10/2013 20:08:02,M,0,450,03/11/1999,0,117,2050,2167,0,21,44.0552,3,Ninguna
[5] Usuario perdido,1.666666667,Sábado,14,5,2,1,DEPORTES,1,15,11,26/10/2013 05:35:23,M,0,689,01/02/2001,0,189,150,339,0,9,3.9509,1,Ninguna
[5] Usuario perdido,1,Sábado,14,5,21,1,MISC,1,2,0,13/10/2013 00:32:53,F,0,341,12/06/2001,0,432,6000,6432,0,2,0,12,Ninguna
