puntos_historicos;fecha_afiliacion;uni;genero;nacimiento;hora_afiliacion;dia_afiliacion;puntos_gastados;shares_totales;categoria_dominante;recruitments;concursos_participados;premios_canjeados;tickets_canjeados;difference_last_and_first_share;difference_last_raffle_first_share;edad;shares_frequency;quality;quality_id;sistema_registro;densidad_videos;calidad_videos;densidad_concursos;densidad_videos_semanas_registro
0;2014-06-15;NA;F;NA;5;Domingo;0;0;NA;0;0;0;0;-1;-1;23;0;Not interested/Didn't get it;0;Normal sign in;Regular;Somewhat High;Somewhat High;Somewhat High
0;2014-06-15;NA;F;NA;18;Domingo;0;0;NA;0;0;0;0;-1;-1;23;0;Not interested/Didn't get it;0;Through video display;Low;Somewhat Low;Somewhat Low;Regular
0;2014-06-16;NA;F;NA;23;Domingo;0;0;NA;0;0;0;0;-1;-1;20;0;Not interested/Didn't get it;0;Through video display;Low;Somewhat Low;Somewhat Low;Low
0;2014-06-16;NA;F;NA;0;Lunes;0;0;NA;0;0;0;0;-1;-1;24;0;Not interested/Didn't get it;0;Through video display;Low;Somewhat Low;Regular;Low
0;2014-06-16;NA;F;NA;10;Lunes;0;0;NA;0;0;0;0;-1;-1;24;0;Not interested/Didn't get it;0;Through video display;Low;Somewhat Low;Regular;Somewhat High
0;2014-06-16;Universidad de Santiago de Chile;M;1989-12-21;13;Lunes;0;3;VIDEOJUEGOS;0;0;0;0;0;-1;26;0;Not captured;1;Facebook campaign;Low;Regular;Low;Somewhat High
0;2014-06-16;NA;M;NA;15;Lunes;0;0;NA;0;0;0;0;-1;-1;38;0;Not interested/Didn't get it;0;Through video display;Somewhat High;Low;Somewhat Low;High
0;2014-06-16;NA;NA;NA;17;Lunes;0;0;NA;0;0;0;0;-1;-1;24;0;Not interested/Didn't get it;0;Through video display;High;Somewhat Low;Low;High
0;2014-06-16;NA;NA;NA;18;Lunes;0;1;DEPORTES;0;0;0;0;0;-1;23;0;Not captured;1;Normal sign in;Low;Low;Low;Regular
0;2014-06-17;NA;F;NA;22;Lunes;0;0;NA;0;0;0;0;-1;-1;33;0;Not interested/Didn't get it;0;Physical campaign: flyers;High;Low;High;Somewhat High
840;2014-06-17;NA;F;NA;23;Lunes;750;5;VIAJES;0;3;0;3;3;1;25;0.6;Lost;2;Recruited;Somewhat Low;Low;Somewhat Low;High
0;2014-06-17;NA;NA;NA;0;Martes;0;1;MISC;0;0;0;0;0;-1;23;0;Not captured;1;Through video display;Low;Somewhat Low;Low;Somewhat Low
0;2014-06-17;NA;NA;NA;17;Martes;0;0;NA;0;0;0;0;-1;-1;20;0;Not interested/Didn't get it;0;Through video display;Low;Somewhat Low;Regular;Low
0;2014-06-18;NA;M;NA;2;Miercoles;0;1;VIDEOJUEGOS;0;0;0;0;0;-1;46;0;Not captured;1;Through video display;Regular;Somewhat Low;Low;High
24;2014-06-19;NA;F;NA;11;Jueves;0;5;MISC;0;0;0;0;0;-1;24;0;Not captured;1;Through video display;Low;Low;Low;High
112;2014-06-19;NA;M;NA;16;Jueves;0;3;MISC;0;0;0;0;0;-1;23;0;Not captured;1;Through video display;Low;Low;Somewhat Low;Low
384;2014-06-20;NA;F;NA;22;Jueves;250;6;DEPORTES;0;1;0;1;0;0;39;0;Not captured;1;Normal sign in;Regular;Low;Low;Regular
0;2014-06-20;NA;M;NA;1;Viernes;0;0;NA;0;0;0;0;-1;-1;23;0;Not interested/Didn't get it;0;Facebook campaign;Somewhat Low;Somewhat Low;Low;Somewhat High
600;2014-06-20;NA;M;NA;13;Viernes;0;14;VIDEOJUEGOS;0;0;0;0;0;-1;30;0;Not captured;1;Normal sign in;Low;Regular;Somewhat High;High
32;2014-06-20;NA;M;NA;13;Viernes;0;1;DEPORTES;0;0;0;0;0;-1;24;0;Not captured;1;Normal sign in;Low;Low;Low;Low
0;2014-06-20;NA;F;NA;14;Viernes;0;0;NA;0;0;0;0;-1;-1;23;0;Not interested/Didn't get it;0;Through video display;Somewhat High;Somewhat Low;Low;Somewhat Low
1168;2014-06-21;NA;M;NA;23;Viernes;0;9;MISC;0;0;0;0;2;-1;43;0.222222222222222;Lost;2;Normal sign in;Low;Low;High;Somewhat Low
0;2014-06-21;NA;NA;NA;0;Sabado;0;0;NA;0;0;0;0;-1;-1;22;0;Not interested/Didn't get it;0;Recruited;Somewhat Low;Low;Low;High
0;2014-06-21;NA;M;NA;14;Sabado;0;0;NA;0;0;0;0;-1;-1;22;0;Not interested/Didn't get it;0;Through video display;Somewhat Low;Somewhat Low;Regular;High
0;2014-06-22;NA;F;NA;23;Sabado;0;0;NA;0;0;0;0;-1;-1;40;0;Not interested/Didn't get it;0;Through video display;Low;Low;Somewhat High;Low
48;2014-06-24;NA;M;NA;18;Martes;0;2;DEPORTES;0;0;0;0;0;-1;26;0;Not captured;1;Normal sign in;Low;Regular;Low;High
32;2014-06-25;NA;F;NA;11;Miercoles;0;1;MISC;0;0;0;0;0;-1;21;0;Not captured;1;Normal sign in;Low;Somewhat Low;Somewhat Low;Somewhat Low
40;2014-06-26;NA;F;NA;12;Jueves;0;2;MISC;0;0;0;0;4;-1;23;2;Lost;2;Recruited;Low;Low;Low;High
0;2014-06-26;NA;M;NA;19;Jueves;0;0;NA;0;0;0;0;-1;-1;25;0;Not interested/Didn't get it;0;Through video display;High;Regular;High;Low
0;2014-06-27;NA;F;NA;23;Jueves;0;0;NA;0;0;0;0;-1;-1;22;0;Not interested/Didn't get it;0;Through video display;Somewhat Low;Somewhat Low;Regular;Somewhat High
0;2014-06-28;NA;NA;NA;20;Sabado;0;1;VIAJES;0;0;0;0;0;-1;23;0;Not captured;1;Through video display;Low;Regular;Low;High
122;2014-06-29;Universidad Tecnol;M;1994-04-19;2;Domingo;0;2;MISC;0;0;0;0;0;-1;21;0;Not captured;1;Facebook campaign;Low;Somewhat Low;Low;High
